congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,108,0.9722222222222222,0.95047109,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,13,1,0.98059294,63
0,house,A000367,Amash,MI,3,Republican,108,0.5925925925925926,0.81467517,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,12,1,0.55299241,9.4
0,house,A000369,Amodei,NV,2,Republican,107,0.9906542056074766,0.85175641,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,13,1,0.67264772,12.3
0,house,A000370,Adams,NC,12,Democrat,105,0.1523809523809524,0.1785704,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,13,0,1.1282e-4,-40
0,house,A000371,Aguilar,CA,31,Democrat,107,0.24299065420560748,0.27630237,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,13,0,0.00467661,-21.1
0,house,A000372,Allen,GA,12,Republican,108,0.9722222222222222,0.89270652,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,13,1,0.79710231,16.2
0,house,A000374,Abraham,LA,5,Republican,105,0.9333333333333333,0.94253891,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,9,1,0.90733261,29.4
0,house,A000375,Arrington,TX,19,Republican,108,0.9629629629629629,0.95149338,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,13,0.9230769230769231,0.96525586,49
0,house,A000376,Allred,TX,32,Democrat,12,0,0.11278988,-1.9
116,house,A000376,Allred,TX,32,D,12,0,0.11278988,-1.9
0,house,A000377,Armstrong,ND,0,Republican,13,0.9230769230769231,0.94571054,35.72888837
116,house,A000377,Armstrong,ND,0,R,13,0.9230769230769231,0.94571054,35.72888837
0,house,A000378,Axne,IA,3,Democrat,13,0,0.28401901,3.5
116,house,A000378,Axne,IA,3,D,13,0,0.28401901,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
